id,timestamp,susceptible,exposed,carrier,infected,hospitalized,icu,dead,recovered
287f3ad6952943a8aae6c26676798030,75,6351,540,233,52,22,14,50,940
287f3ad6952943a8aae6c26676798030,76,6282,551,234,67,21,17,52,978
287f3ad6952943a8aae6c26676798030,77,6214,568,226,78,19,19,54,1024
287f3ad6952943a8aae6c26676798030,78,6125,588,246,68,29,13,57,1076
287f3ad6952943a8aae6c26676798030,79,6042,603,263,68,27,19,59,1121
287f3ad6952943a8aae6c26676798030,80,5954,617,282,79,26,20,62,1162
287f3ad6952943a8aae6c26676798030,81,5854,657,279,83,30,24,64,1211
287f3ad6952943a8aae6c26676798030,82,5770,673,282,89,27,19,65,1277
287f3ad6952943a8aae6c26676798030,83,5672,694,289,98,35,19,65,1330
287f3ad6952943a8aae6c26676798030,84,5581,713,291,96,35,27,67,1392
287f3ad6952943a8aae6c26676798030,85,5488,725,306,92,37,28,70,1456
287f3ad6952943a8aae6c26676798030,86,5403,737,316,93,35,29,71,1518
287f3ad6952943a8aae6c26676798030,87,5311,745,320,102,38,29,73,1584
287f3ad6952943a8aae6c26676798030,88,5202,786,298,117,28,31,76,1664
287f3ad6952943a8aae6c26676798030,89,5094,818,303,101,42,21,85,1738
287f3ad6952943a8aae6c26676798030,90,5006,818,342,68,29,28,88,1823
287f3ad6952943a8aae6c26676798030,91,4915,820,349,93,31,29,89,1876
287f3ad6952943a8aae6c26676798030,92,4827,810,370,102,31,28,91,1943
287f3ad6952943a8aae6c26676798030,93,4712,842,373,104,39,25,94,2013
287f3ad6952943a8aae6c26676798030,94,4623,840,376,112,46,26,96,2083
287f3ad6952943a8aae6c26676798030,95,4510,849,386,125,41,24,99,2168
287f3ad6952943a8aae6c26676798030,96,4399,854,392,131,58,24,100,2244
287f3ad6952943a8aae6c26676798030,97,4307,855,401,124,47,40,101,2327
287f3ad6952943a8aae6c26676798030,98,4210,870,391,119,50,31,102,2429
287f3ad6952943a8aae6c26676798030,99,4124,869,396,112,45,39,105,2512
287f3ad6952943a8aae6c26676798030,100,4028,884,387,126,35,35,108,2599
287f3ad6952943a8aae6c26676798030,101,3942,886,390,114,53,32,112,2673
287f3ad6952943a8aae6c26676798030,102,3874,877,362,140,37,41,115,2756
287f3ad6952943a8aae6c26676798030,103,3801,854,365,126,48,29,119,2860
287f3ad6952943a8aae6c26676798030,104,3716,858,355,119,47,35,120,2952
287f3ad6952943a8aae6c26676798030,105,3652,819,382,111,43,36,124,3035
287f3ad6952943a8aae6c26676798030,106,3555,820,401,102,45,39,128,3112
287f3ad6952943a8aae6c26676798030,107,3479,812,400,107,39,28,131,3206
287f3ad6952943a8aae6c26676798030,108,3396,802,412,110,30,29,135,3288
287f3ad6952943a8aae6c26676798030,109,3320,805,384,131,44,31,140,3347
287f3ad6952943a8aae6c26676798030,110,3237,784,409,116,56,30,146,3424
287f3ad6952943a8aae6c26676798030,111,3166,765,413,116,51,48,150,3493
287f3ad6952943a8aae6c26676798030,112,3093,747,412,130,40,37,158,3585
287f3ad6952943a8aae6c26676798030,113,3018,735,415,114,41,34,164,3681
287f3ad6952943a8aae6c26676798030,114,2953,717,396,125,41,36,167,3767
287f3ad6952943a8aae6c26676798030,115,2894,690,400,108,52,37,172,3849
287f3ad6952943a8aae6c26676798030,116,2833,682,352,154,39,36,173,3933
287f3ad6952943a8aae6c26676798030,117,2773,668,340,127,59,34,175,4026
287f3ad6952943a8aae6c26676798030,118,2712,659,341,113,45,35,180,4117
287f3ad6952943a8aae6c26676798030,119,2671,635,320,111,52,36,186,4191
287f3ad6952943a8aae6c26676798030,120,2636,602,312,107,47,50,188,4260
287f3ad6952943a8aae6c26676798030,121,2594,564,318,99,39,40,194,4354
287f3ad6952943a8aae6c26676798030,122,2539,552,310,90,45,30,203,4433
287f3ad6952943a8aae6c26676798030,123,2489,541,315,89,24,32,206,4506
287f3ad6952943a8aae6c26676798030,124,2451,513,308,94,31,29,211,4565
287f3ad6952943a8aae6c26676798030,125,2396,517,291,89,32,24,214,4639
287f3ad6952943a8aae6c26676798030,126,2365,488,283,95,29,25,215,4702
287f3ad6952943a8aae6c26676798030,127,2327,469,277,86,42,25,218,4758
287f3ad6952943a8aae6c26676798030,128,2294,441,270,84,36,32,220,4825
287f3ad6952943a8aae6c26676798030,129,2260,424,271,79,31,29,226,4882
